feature_set,target,task,model,cv_scheme,feature_type,n_components,train_pearson_r_mean,train_pearson_r_std,train_mse_mean,train_mse_std,test_pearson_r_mean,test_pearson_r_std,test_mse_mean,test_mse_std,train_f1_mean,train_f1_std,train_accuracy_mean,train_accuracy_std,test_f1_mean,test_f1_std,test_accuracy_mean,test_accuracy_std
pca_10,arousal,classification,logistic_regression,group_kfold,pca,10.0,0.3689674033542392,0.008381319815411476,,,0.3708571279877125,0.14043772745407587,,,0.66334420212214,0.0040055725562339614,0.6637698085606824,0.003854541159509593,0.6587766792047225,0.05632175511380823,0.6425050893077365,0.0649042157146499
pca_10,arousal,classification,logistic_regression,kfold,pca,10.0,0.3684530883707508,0.0019841963584964653,,,0.3666963516266285,0.031901780927259524,,,0.6639928711485816,0.0011986274331464482,0.6642070642990873,0.0011914034714878504,0.6627177279590954,0.01922487019513178,0.6629418532239848,0.0192091069631531
pca_10,arousal,classification,mlp_classifier,group_kfold,pca,10.0,0.8921070225916226,0.014190539888622638,,,0.21699493182036858,0.08570163186557528,,,0.9330568660857088,0.00970252350096079,0.9330754817571371,0.009701767341153146,0.616394026024308,0.04381897419428036,0.5992238025868782,0.04323592124330626
pca_10,arousal,classification,mlp_classifier,kfold,pca,10.0,0.8880559106514825,0.016114576381545072,,,0.47445680421615144,0.034410726721713455,,,0.9299382617447919,0.010341310317535022,0.9299619052784701,0.010324347732045625,0.7141367863569416,0.01915296423029304,0.7143745712084271,0.019131773012023994
pca_10,valence,classification,logistic_regression,group_kfold,pca,10.0,0.304680453608034,0.011675143895575694,,,0.3055060565860849,0.2019597170706403,,,0.6308227656062143,0.004283809608248219,0.6318276936569022,0.00421916204530581,0.6366191894474447,0.07268988714089421,0.6140694701603906,0.08741271728012062
pca_10,valence,classification,logistic_regression,kfold,pca,10.0,0.3043868077396048,0.001473627226814037,,,0.3020947487625544,0.025494118522488934,,,0.6312140558522944,0.0012361915519423254,0.6318734719826724,0.00122113056396221,0.629048090769788,0.015236072852856419,0.6298766135756731,0.015188230283141915
pca_10,valence,classification,mlp_classifier,group_kfold,pca,10.0,0.8740203126060027,0.012940365389565788,,,0.09824005675175536,0.07285187901647817,,,0.9213393129794246,0.00882342605870344,0.9213864865517114,0.008808208446290842,0.5573810126132224,0.04220241254466145,0.53198976701846,0.044256092638100604
pca_10,valence,classification,mlp_classifier,kfold,pca,10.0,0.8617023224371797,0.016886114917318132,,,0.4029805035704093,0.031700002481067364,,,0.9133490876525516,0.012071836863651023,0.9133899966077418,0.012029311817379254,0.6757046917144389,0.013916680411354352,0.6758782179158355,0.013980084893223615
pca_15,arousal,classification,logistic_regression,group_kfold,pca,15.0,0.39436623254135816,0.008078253864931072,,,0.39484682133737725,0.12948982984952684,,,0.6776096672745388,0.003135992697987173,0.6779061830408671,0.0029814003581983967,0.6706850507356253,0.05209737483542642,0.6545414128781954,0.06268968010573807
pca_15,arousal,classification,logistic_regression,kfold,pca,15.0,0.39377645269706707,0.0020636235005074685,,,0.3912246970456239,0.03323711877141329,,,0.6769312744809762,0.0016510040168507764,0.6770738656141925,0.0016388052812933106,0.6756514499214118,0.020154999468613963,0.675800850722481,0.02011682486418184
pca_15,arousal,classification,mlp_classifier,group_kfold,pca,15.0,0.9824773726086193,0.0038439205158563184,,,0.20059003089568742,0.08855719931099622,,,0.9929872400052546,0.00232744006916331,0.9929870195045842,0.0023277683780551623,0.6100623983439516,0.046344995258959895,0.5929407263065885,0.04576874131615788
pca_15,arousal,classification,mlp_classifier,kfold,pca,15.0,0.9823751268733297,0.004503617158026998,,,0.4655356699570332,0.029845704634422442,,,0.9931342582439934,0.002859594973832548,0.9931343866683657,0.002859478788754563,0.7172306859176043,0.015235270138025687,0.7172782158048617,0.015236011286049768
pca_15,valence,classification,logistic_regression,group_kfold,pca,15.0,0.3106115099638386,0.011547340184845187,,,0.30564067633562786,0.1995058790843931,,,0.6329679821944367,0.004414629361248064,0.6338176338119453,0.004376100282639231,0.6356205085990304,0.07573792751115366,0.6127860208792258,0.09365151625812067
pca_15,valence,classification,logistic_regression,kfold,pca,15.0,0.310166323988192,0.0014112366116794965,,,0.30699454477546334,0.024592662169312322,,,0.6338768546433347,0.0010152752068582052,0.6343991126283538,0.0010054416750816348,0.6329840723556838,0.014761801547586089,0.6336282363868571,0.014715279986151616
pca_15,valence,classification,mlp_classifier,group_kfold,pca,15.0,0.9787814212172782,0.00497493949583483,,,0.1168263917987012,0.08491576170827704,,,0.9908472317562124,0.003942693048847491,0.9908473515452287,0.003941988946767345,0.5774866349650017,0.04264890506333297,0.5527293598443671,0.03973561767198021
pca_15,valence,classification,mlp_classifier,kfold,pca,15.0,0.9762645032208073,0.004950472541028457,,,0.4224623982068285,0.023359444928651857,,,0.9893476985754156,0.0037714922455976537,0.9893481869498881,0.003770835377187805,0.694307646674236,0.012604785577941813,0.6944757924068268,0.012625097565059768
pca_20,arousal,classification,logistic_regression,group_kfold,pca,20.0,0.4131546247473603,0.0074575361827677955,,,0.41178227697322384,0.1146532378151494,,,0.6859524427712483,0.004055953367403411,0.6863334953336664,0.003935420297985282,0.6805643219761444,0.04235277069803955,0.6646098869529139,0.05535370824340446
